x_data,y_data
0.9069907069206238,0.10151552030779874
0.2603260278701782,0.21446576056471087
0.7738773822784424,-0.19613314673251525
0.15791578590869904,-0.729247185678409
0.5058505535125732,-0.313398461495399
0.5753575563430786,0.10982906876515995
0.35483548045158386,0.38527334386015183
0.04090408980846405,0.7000593232289894
0.40974098443984985,-0.0874654605897159
0.6461646556854248,0.2710447092469031
0.560155987739563,0.016423590056111353
0.5231523513793945,-0.2236797098226064
0.37773779034614563,0.20027293676957197
0.2726272642612457,0.33478980178385026
0.04770477116107941,0.6036039640518107
0.13291329145431519,-0.6371499187050679
0.40354034304618835,-0.03378258467868494
0.9642964601516724,0.1420066182138336
0.17771777510643005,-0.6741110527474983
0.6096609830856323,0.2553629484436812
0.07510751485824585,0.15185126864069223
0.5792579650878906,0.13160901616876236
0.40604060888290405,-0.055698736322817195
0.9041904211044312,0.09472410481218672
0.6030603051185608,0.23641484021912781
0.5898590087890625,0.18478507762325388
0.9338933825492859,0.1449137143729855
0.9160916209220886,0.12080106891821868
0.9996999502182007,0.08005649862116976
0.5151515007019043,-0.26841109941155433
0.04680468142032623,0.616898253544473
0.15451546013355255,-0.7275832183133205
0.6311631202697754,0.28280466079413946
0.26832684874534607,0.2953395889591028
0.8966896533966064,0.07473589598170376
0.6181617975234985,0.2725600468553074
0.1025102511048317,-0.29512761126010134
0.5112510919570923,-0.28829568780801257
0.8562856316566467,-0.06060316585481646
0.5368536710739136,-0.1380385072313181
0.23542355000972748,-0.0802147086725941
0.7278727889060974,-0.057025577123521035
0.3602360188961029,0.34607707575554875
0.07730773091316223,0.11393982747984562
0.6773677468299866,0.1785260770911894
0.8809881210327148,0.02592491996806801
0.3382338285446167,0.4805915562074514
0.06410641223192215,0.34052976717336025
0.42334234714508057,-0.19498485870572257
0.38153815269470215,0.16612830360370653
0.4104410409927368,-0.09337420442552054
0.9925992488861084,0.09611753964608953
0.11081108450889587,-0.4098190746165707
0.3527352809906006,0.39955005922958886
0.3495349586009979,0.42016600819915345
0.14201420545578003,-0.6920355195270285
0.6923692226409912,0.11189950064359587
0.3881388306617737,0.10590595049051249
0.8353835344314575,-0.12980317484916926
0.6245624423027039,0.2800331503334257
0.49384939670562744,-0.35745301823949693
0.6798679828643799,0.16810733969790786
0.781278133392334,-0.20347396815469923
