Epoch,Tanh,ReLU,LeakyReLU,Sigmoid
145,1.6391,2.1612,2.4246,8.0519
146,1.6346,2.2354,2.4140,8.0492
147,1.6325,2.1290,2.3882,8.0462
148,1.6270,2.2200,2.4329,8.0433
149,1.6222,2.2162,2.3884,8.0404
150,1.6137,2.2380,2.3704,8.0376
151,1.6113,2.1434,2.3680,8.0348
152,1.6101,2.1633,2.3420,8.0321
153,1.6086,2.1683,2.3310,8.0292
154,1.5996,2.1436,2.3754,8.0265
155,1.6025,2.2123,2.3099,8.0239
156,1.5941,2.2197,2.3111,8.0213
157,1.5881,2.1720,2.3062,8.0188
158,1.5845,2.1655,2.2792,8.0161
159,1.5792,2.1731,2.2846,8.0136
160,1.5749,2.1740,2.2961,8.0110
161,1.5790,2.2598,2.3149,8.0084
162,1.5736,2.1676,2.2430,8.0059
163,1.5654,2.1748,2.2603,8.0034
164,1.5572,2.1731,2.3358,8.0011
165,1.5666,2.1646,2.2760,7.9987
166,1.5560,2.1644,2.2180,7.9963
167,1.5556,2.1925,2.2291,7.9939
168,1.5543,2.2322,2.1964,7.9917
169,1.5436,2.1367,2.1613,7.9897
170,1.5451,2.1572,2.1790,7.9869
171,1.5378,2.1766,2.2263,7.9850
172,1.5373,2.2183,2.1915,7.9826
173,1.5293,2.1592,2.1729,7.9806
174,1.5309,2.1680,2.1615,7.9784
175,1.5224,2.1593,2.1465,7.9763
176,1.5213,2.1651,2.1845,7.9743
177,1.5176,2.1643,2.1354,7.9724
178,1.5176,2.1469,2.1693,7.9701
179,1.5110,2.1525,2.1151,7.9682
180,1.5113,2.1740,2.1076,7.9662
181,1.5058,2.1585,2.0980,7.9642
182,1.5032,2.1981,2.1298,7.9623
183,1.5043,2.1388,2.1404,7.9605
184,1.4936,2.1376,2.1127,7.9584
185,1.4942,2.1579,2.1268,7.9566
186,1.4919,2.1471,2.0940,7.9546
187,1.4902,2.1595,2.1033,7.9528
188,1.4863,2.2394,2.0880,7.9508
189,1.4779,2.1502,2.1221,7.9493
190,1.4815,2.2792,2.1157,7.9473
191,1.4757,2.1731,2.0786,7.9455
192,1.4719,2.1096,2.0742,7.9436
193,1.4639,2.1669,2.0765,7.9418
194,1.4621,2.1886,2.0966,7.9402
195,1.4611,2.2221,2.0502,7.9383
196,1.4548,2.1014,2.0382,7.9370
197,1.4572,2.2302,2.0891,7.9353
198,1.4583,2.1789,2.0654,7.9331
199,1.4479,2.1857,2.0450,7.9315
200,1.4484,2.1789,2.0195,7.9299
201,1.4489,2.2163,2.0690,7.9282
