Epoch,SGD,SGD with Momentum,Adam,AdamW,RMSprop,Adagrad
432,1.0993,0.3646,0.2079,0.3205,0.9647,7.1434
433,1.1271,0.2978,0.2081,0.3156,0.9649,7.1407
434,1.0577,0.3505,0.2096,0.3227,0.9653,7.1379
435,1.1288,0.2701,0.2083,0.3146,0.9624,7.1351
436,1.1704,0.2844,0.2120,0.3069,0.9623,7.1323
437,1.1279,0.2750,0.2101,0.3141,0.9642,7.1295
438,1.1562,0.3262,0.2149,0.3067,0.9621,7.1268
439,1.0961,0.3066,0.2161,0.3108,0.9648,7.1240
440,1.1155,0.3312,0.2107,0.3144,0.9639,7.1212
441,1.1926,0.3066,0.2132,0.3135,0.9635,7.1184
442,1.1035,0.2792,0.2058,0.3143,0.9621,7.1157
443,1.0419,0.2701,0.2074,0.3086,0.9636,7.1129
444,1.1243,0.2810,0.2062,0.3108,0.9635,7.1101
445,1.1276,0.2870,0.2128,0.3055,0.9621,7.1074
446,1.0735,0.3536,0.2078,0.3040,0.9630,7.1046
447,1.1175,0.2706,0.2131,0.3087,0.9634,7.1018
448,1.2387,0.2670,0.2143,0.3157,0.9602,7.0991
449,1.1378,0.2979,0.2034,0.3108,0.9604,7.0963
450,1.0094,0.3301,0.2061,0.3093,0.9633,7.0935
451,1.0602,0.2474,0.2202,0.3090,0.9610,7.0908
452,1.1395,0.2958,0.2072,0.3076,0.9621,7.0880
453,1.1043,0.2906,0.2037,0.3062,0.9612,7.0852
454,1.3017,0.2935,0.2028,0.3102,0.9624,7.0825
455,1.1501,0.3317,0.2071,0.3058,0.9622,7.0797
456,1.1565,0.2901,0.2034,0.3076,0.9611,7.0770
457,1.1265,0.2838,0.2070,0.3063,0.9611,7.0742
458,1.1108,0.2773,0.2084,0.3104,0.9598,7.0715
459,1.1750,0.2583,0.2090,0.3066,0.9605,7.0687
460,1.0710,0.2582,0.2082,0.3053,0.9598,7.0660
461,1.2797,0.2393,0.2141,0.3001,0.9608,7.0632
462,1.0577,0.2553,0.2029,0.3037,0.9607,7.0605
463,1.0212,0.2580,0.2064,0.3111,0.9610,7.0577
464,1.3076,0.3721,0.2041,0.3056,0.9599,7.0550
465,1.0638,0.2747,0.2086,0.3079,0.9610,7.0522
466,1.1196,0.3588,0.2041,0.3095,0.9602,7.0495
467,1.0736,0.2956,0.2030,0.3024,0.9605,7.0467
468,1.0478,0.3326,0.2029,0.3018,0.9602,7.0440
469,1.0724,0.2993,0.2080,0.3043,0.9599,7.0413
470,1.0892,0.2952,0.2047,0.2987,0.9587,7.0385
471,1.0456,0.2627,0.2011,0.2979,0.9600,7.0358
472,1.3200,0.2609,0.2035,0.2980,0.9575,7.0331
473,1.1854,0.2574,0.2055,0.3012,0.9589,7.0303
474,1.2032,0.2757,0.2141,0.3005,0.9591,7.0276
475,1.0214,0.3187,0.2036,0.3012,0.9604,7.0249
476,1.0868,0.2918,0.2023,0.3022,0.9582,7.0221
477,1.0499,0.2728,0.2036,0.2956,0.9587,7.0194
478,1.1934,0.3844,0.2117,0.3000,0.9585,7.0167
479,1.0490,0.3860,0.2002,0.2945,0.9593,7.0140
480,1.1987,0.2748,0.2019,0.2957,0.9564,7.0112
481,1.0592,0.5173,0.2056,0.2980,0.9582,7.0085
482,1.1461,0.3904,0.2036,0.3033,0.9586,7.0058
483,1.0867,0.2847,0.2012,0.2929,0.9571,7.0031
484,1.0237,0.2882,0.2034,0.2971,0.9573,7.0003
485,1.1699,0.2984,0.2024,0.3071,0.9589,6.9976
486,1.0232,0.3187,0.2039,0.3035,0.9579,6.9949
487,1.0777,0.2719,0.2017,0.3065,0.9578,6.9922
488,1.0488,0.2784,0.2035,0.2968,0.9574,6.9895
489,1.1207,0.3133,0.2001,0.3020,0.9559,6.9868
490,1.0264,0.2851,0.1997,0.2966,0.9557,6.9841
491,1.2419,0.2503,0.2042,0.2949,0.9571,6.9814
492,1.1368,0.2817,0.1979,0.2916,0.9558,6.9786
493,1.0311,0.2614,0.2044,0.3009,0.9565,6.9760
494,1.1741,0.3107,0.2065,0.2950,0.9576,6.9732
495,1.0908,0.2976,0.2043,0.2948,0.9582,6.9705
496,1.0773,0.2552,0.2033,0.2969,0.9579,6.9678
497,1.2165,0.2943,0.1981,0.2957,0.9572,6.9652
498,1.1118,0.2654,0.1994,0.2980,0.9559,6.9624
499,1.0466,0.3134,0.2017,0.2918,0.9561,6.9598
500,1.0138,0.2489,0.1993,0.2919,0.9562,6.9571
