Epoch,1000,2000,3000,4000,5000,6000,7000,8000,9000
1,8.1759,8.1969,8.5937,8.4050,8.0983,8.2519,8.3761,8.3051,8.4270
2,8.1593,8.1513,8.5349,8.2989,8.0213,8.1719,8.3461,8.2620,8.2235
3,8.1430,8.1105,8.4816,8.2097,7.9642,8.0964,8.3172,8.2114,8.0400
4,8.1281,8.0734,8.4321,8.1295,7.9213,8.0239,8.2868,8.1520,7.8520
5,8.1153,8.0396,8.3852,8.0565,7.8873,7.9542,8.2523,8.0837,7.6567
6,8.1012,8.0091,8.3393,7.9926,7.8599,7.8884,8.2127,8.0053,7.4376
7,8.0883,7.9806,8.2940,7.9393,7.8364,7.8247,8.1670,7.9158,7.1722
8,8.0767,7.9544,8.2479,7.8936,7.8164,7.7623,8.1153,7.8130,6.8495
9,8.0651,7.9302,8.2005,7.8530,7.7983,7.6995,8.0592,7.6921,6.4741
10,8.0545,7.9076,8.1513,7.8144,7.7821,7.6339,8.0002,7.5442,6.0716
11,8.0442,7.8865,8.1000,7.7767,7.7666,7.5632,7.9395,7.3578,5.6678
12,8.0341,7.8671,8.0453,7.7385,7.7515,7.4835,7.8774,7.1229,5.2925
13,8.0246,7.8489,7.9868,7.6985,7.7368,7.3883,7.8126,6.8364,4.9639
14,8.0157,7.8324,7.9234,7.6551,7.7220,7.2680,7.7423,6.5095,4.6879
15,8.0065,7.8161,7.8566,7.6077,7.7069,7.1131,7.6612,6.1595,4.4517
16,7.9976,7.8011,7.7835,7.5557,7.6912,6.9194,7.5627,5.8146,4.2274
17,7.9898,7.7869,7.7040,7.4971,7.6747,6.6911,7.4377,5.4939,3.9949
18,7.9812,7.7734,7.6181,7.4312,7.6570,6.4402,7.2790,5.2112,3.7627
19,7.9731,7.7605,7.5247,7.3569,7.6380,6.1736,7.0820,4.9690,3.5364
20,7.9653,7.7482,7.4239,7.2736,7.6173,5.8989,6.8462,4.7688,3.3209
21,7.9581,7.7360,7.3150,7.1791,7.5950,5.6226,6.5729,4.6045,3.1160
22,7.9501,7.7237,7.1977,7.0748,7.5707,5.3501,6.2713,4.4717,2.9272
23,7.9431,7.7120,7.0718,6.9574,7.5446,5.0840,5.9557,4.3637,2.7579
24,7.9357,7.7009,6.9375,6.8288,7.5154,4.8314,5.6437,4.2766,2.6015
25,7.9286,7.6892,6.7961,6.6882,7.4843,4.5925,5.3515,4.2016,2.4584
26,7.9217,7.6774,6.6475,6.5366,7.4504,4.3679,5.0891,4.1416,2.3271
27,7.9146,7.6654,6.4929,6.3754,7.4139,4.1622,4.8606,4.0879,2.2055
