Epoch,2x64x32x1,2x64x32x16x1,2x64x32x16x8x1,2x64x32x16x8x4x1
144,0.2561,0.2156,0.1649,0.2260
145,0.2547,0.2255,0.1052,0.1305
146,0.2484,0.1872,0.1407,0.2155
147,0.2482,0.1687,0.1252,0.1062
148,0.2428,0.2132,0.1399,0.0944
149,0.2398,0.2273,0.1182,0.1225
150,0.2389,0.2159,0.1333,0.0987
151,0.2384,0.1699,0.1045,0.1095
152,0.2325,0.2005,0.0984,0.1178
153,0.2321,0.2068,0.1243,0.0883
154,0.2284,0.2442,0.1077,0.1394
155,0.2284,0.2125,0.0944,0.0923
156,0.2274,0.1875,0.0922,0.1144
157,0.2226,0.1584,0.1113,0.1270
158,0.2211,0.2498,0.1267,0.1005
159,0.2185,0.2167,0.1231,0.0893
160,0.2151,0.1729,0.1394,0.0939
161,0.2140,0.1727,0.1032,0.0952
162,0.2111,0.2341,0.0959,0.0864
163,0.2098,0.1644,0.0916,0.0898
164,0.2033,0.1704,0.1073,0.1052
165,0.2047,0.2181,0.1007,0.0822
166,0.2050,0.1670,0.0940,0.0921
167,0.2017,0.1738,0.1489,0.1235
168,0.1985,0.1654,0.1180,0.1025
169,0.1948,0.1516,0.0743,0.1048
170,0.1988,0.1593,0.0776,0.0819
171,0.1925,0.1428,0.1081,0.1042
172,0.1927,0.1338,0.0914,0.1041
173,0.1883,0.1657,0.0838,0.0872
174,0.1870,0.1747,0.0728,0.1077
175,0.1870,0.1302,0.0863,0.0860
176,0.1847,0.1597,0.0860,0.0864
177,0.1810,0.1349,0.0880,0.1211
178,0.1790,0.2388,0.1282,0.0756
179,0.1782,0.1389,0.0927,0.0721
180,0.1771,0.1366,0.0835,0.0826
181,0.1780,0.1552,0.0934,0.0711
182,0.1744,0.1539,0.0700,0.0678
183,0.1719,0.2037,0.0943,0.1080
184,0.1713,0.1184,0.1926,0.0671
185,0.1694,0.1743,0.0755,0.0728
186,0.1664,0.1758,0.0921,0.0752
187,0.1681,0.1374,0.0756,0.0769
188,0.1635,0.1495,0.0709,0.0877
189,0.1621,0.1380,0.0681,0.0889
190,0.1603,0.1836,0.0832,0.0602
191,0.1615,0.1441,0.0718,0.0617
192,0.1584,0.1163,0.0669,0.0909
193,0.1583,0.1365,0.0635,0.0613
194,0.1562,0.1168,0.0630,0.0689
195,0.1555,0.1216,0.0807,0.0625
196,0.1533,0.1132,0.0978,0.0783
197,0.1529,0.1343,0.0669,0.0849
198,0.1511,0.0988,0.0613,0.1016
199,0.1480,0.1330,0.0639,0.1377
200,0.1473,0.1322,0.0722,0.0650
201,0.1462,0.1808,0.0711,0.0667
202,0.1453,0.1306,0.0712,0.0606
203,0.1441,0.1424,0.0680,0.0553
204,0.1422,0.1465,0.0785,0.0572
205,0.1429,0.1121,0.0697,0.0927
206,0.1405,0.1226,0.0642,0.0599
207,0.1369,0.0936,0.0653,0.0726
208,0.1363,0.1311,0.0865,0.0659
209,0.1361,0.1182,0.0644,0.0549
210,0.1352,0.1076,0.0741,0.0604
211,0.1339,0.1125,0.0604,0.0738
212,0.1326,0.0894,0.0583,0.0702
213,0.1303,0.1456,0.0553,0.0566
214,0.1313,0.0955,0.0971,0.0510
215,0.1278,0.1362,0.0584,0.0525
216,0.1285,0.0984,0.0608,0.0555
217,0.1255,0.1129,0.0756,0.0573
218,0.1256,0.1023,0.0619,0.0504
219,0.1239,0.1245,0.0550,0.0536
220,0.1241,0.1671,0.0668,0.0838
221,0.1233,0.0932,0.0757,0.0506
222,0.1235,0.1081,0.0569,0.0503
223,0.1199,0.1026,0.0658,0.0507
224,0.1186,0.1409,0.0636,0.0660
225,0.1186,0.0944,0.0579,0.0581
226,0.1188,0.1209,0.1081,0.0598
227,0.1162,0.0849,0.1043,0.0881
228,0.1153,0.0970,0.0890,0.0786
229,0.1147,0.0827,0.0709,0.0440
230,0.1124,0.1128,0.0650,0.0654
231,0.1130,0.1272,0.0524,0.0479
232,0.1139,0.0957,0.0609,0.0561
233,0.1106,0.0921,0.0659,0.0489
234,0.1116,0.0857,0.0485,0.0507
235,0.1091,0.0932,0.0545,0.0506
236,0.1090,0.1046,0.0613,0.0422
237,0.1080,0.0834,0.0557,0.0632
238,0.1061,0.0987,0.0605,0.0521
239,0.1062,0.1251,0.0508,0.0489
240,0.1065,0.0878,0.0665,0.0454
241,0.1043,0.0800,0.0513,0.0795
242,0.1022,0.0713,0.0447,0.0511
243,0.1010,0.1094,0.0517,0.0461
244,0.1000,0.1268,0.0616,0.0579
245,0.1013,0.0926,0.0463,0.0546
246,0.0991,0.0831,0.0525,0.0588
247,0.0999,0.0740,0.0481,0.0468
248,0.1013,0.1553,0.0713,0.0373
249,0.0989,0.0752,0.0487,0.0496
250,0.0960,0.0793,0.0567,0.0569
251,0.0953,0.0841,0.0472,0.0473
252,0.0961,0.0646,0.0581,0.0485
253,0.0961,0.0846,0.0615,0.0442
254,0.0946,0.0936,0.0520,0.0461
255,0.0944,0.1119,0.0491,0.0431
256,0.0924,0.1122,0.0571,0.0472
257,0.0927,0.0687,0.0523,0.0484
258,0.0920,0.0692,0.0455,0.0461
259,0.0911,0.0957,0.0487,0.0452
260,0.0899,0.0694,0.0656,0.0469
261,0.0897,0.0673,0.0558,0.0504
262,0.0882,0.0750,0.0782,0.0408
263,0.0880,0.0796,0.0498,0.0416
264,0.0869,0.0800,0.0467,0.0486
265,0.0863,0.0839,0.0477,0.0456
266,0.0857,0.0886,0.0430,0.0532
267,0.0855,0.0980,0.0463,0.0438
268,0.0854,0.0614,0.0508,0.0361
269,0.0844,0.0633,0.0418,0.0443
270,0.0852,0.0668,0.0433,0.0445
271,0.0836,0.0781,0.0439,0.0593
272,0.0824,0.0670,0.0393,0.0491
273,0.0817,0.0687,0.0445,0.0863
274,0.0802,0.0795,0.0477,0.0738
275,0.0811,0.0607,0.0445,0.0391
276,0.0805,0.0639,0.0430,0.0367
277,0.0794,0.0749,0.0555,0.0377
278,0.0787,0.0612,0.0475,0.0327
279,0.0779,0.0631,0.0403,0.0366
280,0.0771,0.1054,0.0575,0.0476
281,0.0773,0.0755,0.0448,0.0398
282,0.0774,0.0603,0.0496,0.0372
283,0.0756,0.0814,0.0476,0.1005
284,0.0746,0.0592,0.0435,0.0452
285,0.0758,0.0693,0.0420,0.0433
286,0.0738,0.1076,0.0594,0.0423
287,0.0737,0.0638,0.0406,0.0545
288,0.0739,0.0590,0.0472,0.0486
289,0.0726,0.0583,0.0602,0.0330
290,0.0722,0.0590,0.0397,0.0357
291,0.0722,0.0771,0.0465,0.0337
292,0.0709,0.0896,0.0388,0.0313
293,0.0719,0.0776,0.0397,0.0344
294,0.0700,0.0543,0.0568,0.0402
295,0.0694,0.0550,0.0388,0.0357
296,0.0700,0.0522,0.0419,0.0479
297,0.0697,0.0605,0.0434,0.0324
298,0.0686,0.0534,0.0514,0.1001
299,0.0683,0.0624,0.0402,0.0309
300,0.0688,0.0472,0.0459,0.0288
301,0.0679,0.0579,0.0408,0.0450
302,0.0689,0.0755,0.0426,0.0368
303,0.0665,0.0539,0.0361,0.0355
304,0.0656,0.0628,0.0389,0.0356
305,0.0654,0.0760,0.0380,0.0367
306,0.0647,0.0516,0.0381,0.0319
307,0.0647,0.0603,0.0403,0.0396
308,0.0652,0.0451,0.0570,0.0313
309,0.0636,0.0499,0.0381,0.0319
310,0.0636,0.0704,0.0467,0.0358
311,0.0643,0.0540,0.0423,0.0361
312,0.0632,0.0612,0.0371,0.0315
313,0.0625,0.0572,0.0438,0.0329
314,0.0614,0.0693,0.0394,0.0322
315,0.0616,0.0912,0.0424,0.0576
316,0.0609,0.0479,0.0355,0.0627
317,0.0618,0.0483,0.0364,0.0334
318,0.0600,0.0569,0.0411,0.0375
319,0.0605,0.0842,0.0365,0.0419
320,0.0621,0.0588,0.0334,0.0357
321,0.0593,0.0615,0.0356,0.0334
322,0.0603,0.0502,0.0561,0.0344
323,0.0573,0.0521,0.0452,0.0301
324,0.0582,0.0606,0.0493,0.0350
325,0.0569,0.0474,0.0378,0.0339
326,0.0573,0.0500,0.0394,0.0337
327,0.0576,0.0448,0.0360,0.0320
328,0.0566,0.0657,0.0359,0.0334
329,0.0565,0.0647,0.0413,0.0445
330,0.0572,0.0517,0.0328,0.0314
331,0.0560,0.0580,0.0334,0.0281
332,0.0556,0.0628,0.0405,0.0346
333,0.0559,0.0424,0.0388,0.0569
334,0.0548,0.0530,0.0422,0.0377
335,0.0552,0.0447,0.0472,0.0294
336,0.0555,0.0442,0.0309,0.0269
337,0.0533,0.0470,0.0361,0.0283
338,0.0537,0.0506,0.0406,0.0285
339,0.0542,0.0630,0.0435,0.0276
340,0.0528,0.0419,0.0338,0.0370
341,0.0538,0.0420,0.0332,0.0335
342,0.0523,0.0415,0.0401,0.0332
343,0.0532,0.0495,0.0465,0.0303
344,0.0530,0.0358,0.0393,0.0270
345,0.0518,0.0489,0.0327,0.0425
346,0.0518,0.0383,0.0331,0.0262
347,0.0519,0.0388,0.0434,0.0310
348,0.0516,0.0408,0.0458,0.0379
349,0.0508,0.0442,0.0309,0.0299
350,0.0508,0.0386,0.0370,0.0320
351,0.0501,0.0456,0.0404,0.0306
352,0.0499,0.0621,0.0323,0.0367
353,0.0509,0.0414,0.0297,0.0314
354,0.0508,0.0448,0.0291,0.0394
355,0.0494,0.0877,0.0345,0.0276
356,0.0495,0.0755,0.0299,0.0456
357,0.0483,0.0516,0.0380,0.0319
358,0.0477,0.0483,0.0425,0.0771
359,0.0484,0.0369,0.0361,0.0274
360,0.0470,0.0628,0.0301,0.0262
361,0.0480,0.0437,0.0276,0.0293
362,0.0471,0.0411,0.0305,0.0287
363,0.0476,0.0502,0.0403,0.0243
364,0.0470,0.0459,0.0273,0.0237
365,0.0475,0.0438,0.0422,0.0239
366,0.0465,0.0400,0.0283,0.0253
367,0.0462,0.0453,0.0276,0.0454
368,0.0472,0.0456,0.0427,0.0374
369,0.0462,0.0449,0.0321,0.0263
370,0.0462,0.0668,0.0357,0.0238
371,0.0462,0.0450,0.0348,0.0312
372,0.0441,0.0449,0.0276,0.0261
373,0.0460,0.0401,0.0313,0.0569
374,0.0452,0.0397,0.0294,0.0285
375,0.0436,0.0419,0.0304,0.0404
376,0.0446,0.0420,0.0310,0.0258
377,0.0449,0.0371,0.0335,0.0242
378,0.0443,0.0340,0.0325,0.0296
379,0.0437,0.0421,0.0264,0.0268
380,0.0427,0.0412,0.0417,0.0242
381,0.0432,0.0444,0.0884,0.0326
382,0.0430,0.0360,0.0340,0.0259
383,0.0431,0.0409,0.0287,0.0253
384,0.0424,0.0414,0.0325,0.0292
385,0.0416,0.0366,0.0302,0.0235
386,0.0441,0.0336,0.0262,0.0294
387,0.0423,0.0408,0.0338,0.0257
388,0.0421,0.0408,0.0391,0.0260
389,0.0424,0.0457,0.0279,0.0331
390,0.0413,0.0348,0.0289,0.0280
391,0.0409,0.0372,0.0284,0.0231
392,0.0407,0.0373,0.0304,0.0238
393,0.0414,0.0381,0.0285,0.0276
394,0.0408,0.0394,0.0336,0.0298
395,0.0412,0.0453,0.0289,0.0238
396,0.0411,0.0387,0.0253,0.0238
397,0.0399,0.0404,0.0274,0.0240
398,0.0402,0.0386,0.0327,0.0299
399,0.0401,0.0375,0.0267,0.0738
400,0.0395,0.0377,0.0348,0.0320
401,0.0403,0.0487,0.0594,0.0270
402,0.0400,0.0587,0.0299,0.0261
403,0.0389,0.0412,0.0290,0.0224
404,0.0385,0.0311,0.0440,0.0231
