Epoch,Loss
1,463.707870721817
2,295.28841412067413
3,244.72749757766724
4,234.19833213090897
5,208.55745434761047
6,188.59077179431915
7,197.80811369419098
8,188.36989569664001
9,171.21773874759674
10,186.1451844573021
11,176.25854974985123
12,174.70111590623856
13,166.92458707094193
14,172.27638214826584
15,167.26425105333328
16,166.5001659989357
17,156.00419002771378
18,179.70845264196396
19,147.65445637702942
20,148.99882638454437
21,136.3792446255684
22,126.79569274187088
23,149.83005315065384
24,128.9419109225273
25,120.56822746992111
26,122.0636793076992
27,114.77552431821823
28,121.2065281867981
29,126.92542415857315
30,120.67619919776917
31,115.55841958522797
32,111.34209358692169
33,113.83403813838959
34,115.11700648069382
35,124.7675319314003
36,107.86454111337662
37,120.26562029123306
38,104.72993060946465
39,116.08594536781311
40,118.27571523189545
41,110.6529501080513
42,107.44673103094101
43,110.0213987827301
44,120.31424003839493
45,117.79242342710495
46,111.73184287548065
47,102.89939475059509
48,114.4585348367691
49,115.04772737622261
50,105.13804066181183
51,114.10828053951263
52,120.11626988649368
53,108.78301399946213
54,114.39175635576248
55,115.48844075202942
56,113.58390349149704
57,106.11064344644547
58,121.60285368561745
59,118.36017471551895
60,107.12868285179138
61,115.67508655786514
62,101.94105249643326
63,111.2131958603859
64,110.79918694496155
65,112.39462810754776
66,112.55780556797981
67,102.21840491890907
68,109.99278211593628
69,133.2602850496769
70,110.76713302731514
71,108.16264754533768
72,112.95050740242004
73,115.17572259902954
74,112.38392162322998
75,104.3802182674408
76,106.650449603796
77,112.98812288045883
78,108.98324066400528
79,115.20573651790619
80,107.00100880861282
81,110.14826023578644
82,111.49154645204544
83,110.51504361629486
84,106.11604169011116
85,115.1116093993187
86,110.54631394147873
87,103.03773924708366
88,107.26528295874596
89,106.31785148382187
90,109.84022629261017
91,107.66830694675446
92,103.52048718929291
93,111.85191079974174
94,117.500108897686
95,119.2929430603981
96,107.19732469320297
97,105.5964133143425
98,113.13093784451485
99,104.19370201230049
100,112.68039160966873
101,105.18485969305038
102,107.63875439763069
103,113.17774412035942
104,109.05722963809967
105,112.41285383701324
106,103.57166674733162
107,109.23967921733856
108,111.70838785171509
109,104.37059870362282
110,114.21073424816132
111,102.81976622343063
112,109.22988405823708
113,111.45032715797424
114,116.70111072063446
115,100.26783803105354
116,110.83483517169952
117,106.88545686006546
118,121.34955900907516
119,106.89609849452972
120,113.58449244499207
121,106.55301466584206
122,110.7809242606163
123,106.8273795247078
124,112.21372708678246
125,106.15851682424545
126,103.50841104984283
127,115.71162655949593
128,104.17895328998566
129,120.82713711261749
130,99.47274351119995
131,114.55639198422432
132,108.05725526809692
133,115.66533130407333
134,113.47805443406105
135,109.59318035840988
136,113.69708746671677
137,109.00810986757278
138,107.03203696012497
139,110.13073462247849
140,113.28633046150208
141,98.1240982413292
142,108.34960806369781
143,108.33759161829948
144,105.09788492321968
145,122.32806348800659
146,111.18535631895065
147,108.04598417878151
148,110.10625565052032
149,115.64941227436066
150,104.85905885696411
151,104.52915567159653
152,109.30334508419037
153,114.90132784843445
154,104.44928705692291
155,102.8506908416748
156,109.4403966665268
157,108.16992819309235
158,103.74214708805084
159,104.67663711309433
160,104.78633961081505
161,113.92559203505516
162,107.37097322940826
163,105.48851400613785
164,105.82949751615524
165,109.38131594657898
166,105.74114042520523
167,106.87812402844429
168,109.2039442062378
169,112.25778424739838
170,106.58635073900223
171,116.52480959892273
172,105.01658099889755
173,102.67674773931503
174,111.8634501695633
175,103.69383230805397
176,119.32042217254639
177,104.89999106526375
178,117.8669236600399
179,97.20484906435013
180,118.96844664216042
181,108.44350281357765
182,114.78183776140213
183,104.66488313674927
184,107.28661918640137
185,111.39500424265862
186,109.36704432964325
187,102.87478393316269
188,116.84843009710312
189,101.48288524150848
190,108.69991302490234
191,105.02080118656158
192,105.09367430210114
193,108.81947261095047
194,107.02366617321968
195,104.56164091825485
196,114.85894441604614
197,107.79001796245575
198,106.04682689905167
199,102.78558617830276
200,107.56231340765953
