Epoch,Mean Squared Error,Mean Absolute Error,Smooth L1 Loss,Huber Loss,Log-Cosh Loss,Quantile Loss,Mean Absolute Percentage Error
371,0.4886,0.7909,0.8742,0.5840,0.4850,0.4816,1.0143
372,0.4946,0.7901,0.8721,0.5829,0.4843,0.4816,1.0081
373,0.4957,0.7883,0.8703,0.5817,0.4836,0.4816,1.0183
374,0.5055,0.7880,0.8683,0.5805,0.4830,0.4815,1.0221
375,0.5008,0.7865,0.8665,0.5791,0.4825,0.4815,1.0180
376,0.4839,0.7855,0.8644,0.5782,0.4819,0.4815,1.0169
377,0.4860,0.7844,0.8627,0.5769,0.4812,0.4815,1.0186
378,0.5000,0.7830,0.8609,0.5758,0.4807,0.4814,1.0095
379,0.5061,0.7824,0.8591,0.5746,0.4799,0.4814,1.0238
380,0.4918,0.7811,0.8571,0.5737,0.4795,0.4814,1.0200
381,0.4860,0.7800,0.8554,0.5723,0.4789,0.4813,1.0184
382,0.4899,0.7789,0.8535,0.5712,0.4784,0.4813,1.0164
383,0.4942,0.7767,0.8519,0.5700,0.4777,0.4813,1.0178
384,0.4853,0.7768,0.8501,0.5690,0.4772,0.4812,1.0221
385,0.4886,0.7759,0.8482,0.5677,0.4766,0.4812,1.0171
386,0.4930,0.7743,0.8465,0.5664,0.4762,0.4812,1.0150
387,0.4750,0.7733,0.8449,0.5653,0.4755,0.4811,1.0315
388,0.4821,0.7720,0.8432,0.5641,0.4750,0.4811,1.0177
389,0.5001,0.7710,0.8414,0.5630,0.4744,0.4810,1.0232
390,0.4708,0.7699,0.8396,0.5617,0.4739,0.4810,1.0178
391,0.4801,0.7690,0.8382,0.5606,0.4733,0.4810,1.0165
392,0.4778,0.7687,0.8364,0.5595,0.4728,0.4809,1.0162
393,0.4833,0.7668,0.8348,0.5582,0.4723,0.4809,1.0148
394,0.4816,0.7658,0.8333,0.5569,0.4718,0.4809,1.0212
395,0.4757,0.7654,0.8316,0.5557,0.4711,0.4808,1.0114
396,0.4765,0.7634,0.8300,0.5545,0.4708,0.4808,1.0143
397,0.4697,0.7626,0.8284,0.5533,0.4702,0.4808,1.0208
398,0.4744,0.7611,0.8268,0.5521,0.4697,0.4807,1.0205
399,0.4664,0.7601,0.8253,0.5508,0.4694,0.4807,1.0164
400,0.4815,0.7596,0.8237,0.5495,0.4688,0.4807,1.0145
401,0.4693,0.7583,0.8221,0.5483,0.4683,0.4806,1.0208
402,0.4747,0.7581,0.8205,0.5467,0.4676,0.4806,1.0204
403,0.4743,0.7563,0.8190,0.5457,0.4673,0.4806,1.0120
404,0.4607,0.7556,0.8175,0.5446,0.4668,0.4805,1.0186
405,0.4619,0.7541,0.8161,0.5434,0.4663,0.4805,1.0196
406,0.4666,0.7528,0.8146,0.5417,0.4658,0.4804,1.0172
407,0.4721,0.7525,0.8129,0.5406,0.4653,0.4804,1.0151
408,0.4696,0.7508,0.8114,0.5392,0.4649,0.4804,1.0125
409,0.4618,0.7504,0.8100,0.5381,0.4644,0.4803,1.0052
410,0.4619,0.7491,0.8084,0.5366,0.4639,0.4803,1.0187
411,0.4643,0.7480,0.8070,0.5352,0.4635,0.4803,1.0158
412,0.4726,0.7465,0.8056,0.5339,0.4630,0.4802,1.0206
413,0.4648,0.7461,0.8041,0.5328,0.4626,0.4802,1.0144
414,0.4657,0.7444,0.8026,0.5312,0.4619,0.4801,1.0249
415,0.4529,0.7433,0.8011,0.5299,0.4617,0.4801,1.0196
416,0.4627,0.7427,0.7996,0.5287,0.4612,0.4801,1.0061
417,0.4576,0.7412,0.7981,0.5275,0.4606,0.4800,1.0237
418,0.4569,0.7403,0.7967,0.5260,0.4604,0.4800,1.0120
419,0.4569,0.7393,0.7952,0.5250,0.4599,0.4799,1.0210
420,0.4506,0.7385,0.7938,0.5235,0.4594,0.4799,1.0169
421,0.4514,0.7381,0.7923,0.5219,0.4590,0.4799,1.0169
422,0.4587,0.7365,0.7908,0.5208,0.4586,0.4798,1.0153
423,0.4484,0.7355,0.7894,0.5193,0.4581,0.4798,1.0124
424,0.4534,0.7349,0.7877,0.5180,0.4577,0.4797,1.0230
425,0.4476,0.7340,0.7866,0.5167,0.4572,0.4797,1.0218
426,0.4560,0.7332,0.7851,0.5153,0.4569,0.4797,1.0184
427,0.4432,0.7314,0.7836,0.5142,0.4564,0.4796,1.0238
428,0.4517,0.7309,0.7818,0.5127,0.4561,0.4796,1.0072
429,0.4501,0.7292,0.7806,0.5112,0.4555,0.4795,1.0242
430,0.4428,0.7287,0.7791,0.5100,0.4550,0.4795,1.0145
431,0.4492,0.7280,0.7776,0.5089,0.4547,0.4794,1.0147
432,0.4421,0.7270,0.7761,0.5074,0.4543,0.4794,1.0153
433,0.4492,0.7257,0.7747,0.5063,0.4539,0.4794,1.0176
434,0.4429,0.7252,0.7731,0.5049,0.4534,0.4793,1.0175
435,0.4476,0.7248,0.7714,0.5036,0.4531,0.4793,1.0255
436,0.4362,0.7231,0.7701,0.5025,0.4527,0.4792,1.0154
437,0.4474,0.7221,0.7686,0.5013,0.4522,0.4792,1.0167
438,0.4326,0.7219,0.7670,0.5000,0.4518,0.4792,1.0111
439,0.4367,0.7210,0.7656,0.4987,0.4514,0.4791,1.0175
440,0.4364,0.7203,0.7640,0.4974,0.4511,0.4791,1.0222
441,0.4421,0.7186,0.7625,0.4963,0.4505,0.4790,1.0097
442,0.4363,0.7177,0.7608,0.4950,0.4502,0.4790,1.0245
443,0.4381,0.7171,0.7593,0.4934,0.4497,0.4789,1.0168
444,0.4354,0.7164,0.7576,0.4922,0.4494,0.4789,1.0094
445,0.4316,0.7156,0.7562,0.4915,0.4489,0.4789,1.0127
446,0.4329,0.7147,0.7546,0.4900,0.4486,0.4788,1.0260
447,0.4337,0.7136,0.7530,0.4888,0.4482,0.4788,1.0113
448,0.4330,0.7136,0.7514,0.4876,0.4477,0.4787,1.0186
449,0.4269,0.7119,0.7498,0.4865,0.4474,0.4787,1.0128
450,0.4380,0.7103,0.7482,0.4853,0.4469,0.4786,1.0215
451,0.4278,0.7104,0.7466,0.4839,0.4465,0.4786,1.0145
452,0.4239,0.7092,0.7450,0.4826,0.4461,0.4785,1.0202
453,0.4238,0.7087,0.7434,0.4819,0.4457,0.4785,1.0057
454,0.4280,0.7087,0.7417,0.4805,0.4453,0.4784,1.0241
455,0.4331,0.7068,0.7400,0.4794,0.4450,0.4784,1.0171
456,0.4277,0.7071,0.7384,0.4783,0.4446,0.4784,1.0205
457,0.4365,0.7059,0.7368,0.4768,0.4441,0.4783,1.0222
458,0.4240,0.7051,0.7351,0.4760,0.4436,0.4783,1.0257
459,0.4272,0.7045,0.7336,0.4749,0.4432,0.4782,1.0187
460,0.4185,0.7029,0.7320,0.4736,0.4429,0.4782,1.0150
461,0.4163,0.7028,0.7302,0.4722,0.4424,0.4781,1.0213
462,0.4272,0.7015,0.7285,0.4713,0.4420,0.4781,1.0160
463,0.4292,0.7008,0.7270,0.4701,0.4415,0.4780,1.0128
464,0.4162,0.7002,0.7251,0.4687,0.4413,0.4780,1.0202
465,0.4197,0.6993,0.7235,0.4680,0.4407,0.4779,1.0196
466,0.4168,0.6985,0.7221,0.4668,0.4404,0.4779,1.0129
467,0.4227,0.6987,0.7203,0.4654,0.4399,0.4778,1.0227
468,0.4232,0.6975,0.7186,0.4649,0.4396,0.4778,1.0172
469,0.4233,0.6967,0.7168,0.4637,0.4390,0.4777,1.0179
470,0.4276,0.6959,0.7151,0.4627,0.4385,0.4777,1.0173
471,0.4149,0.6953,0.7133,0.4616,0.4382,0.4776,1.0169
472,0.4213,0.6944,0.7119,0.4605,0.4377,0.4776,1.0186
473,0.4193,0.6938,0.7101,0.4591,0.4374,0.4775,1.0160
474,0.4159,0.6937,0.7081,0.4581,0.4369,0.4775,1.0187
475,0.4157,0.6927,0.7064,0.4573,0.4364,0.4774,1.0197
476,0.4183,0.6921,0.7046,0.4564,0.4360,0.4774,1.0142
477,0.4153,0.6913,0.7028,0.4549,0.4355,0.4773,1.0252
478,0.4137,0.6908,0.7009,0.4540,0.4351,0.4773,1.0161
479,0.4190,0.6899,0.6992,0.4531,0.4348,0.4772,1.0198
480,0.4132,0.6897,0.6973,0.4517,0.4342,0.4772,1.0165
481,0.4131,0.6888,0.6951,0.4508,0.4338,0.4771,1.0146
482,0.4152,0.6883,0.6935,0.4502,0.4331,0.4771,1.0236
483,0.4085,0.6871,0.6915,0.4484,0.4330,0.4770,1.0258
484,0.4070,0.6864,0.6893,0.4478,0.4324,0.4770,1.0188
485,0.4118,0.6866,0.6873,0.4467,0.4320,0.4769,1.0126
486,0.4094,0.6865,0.6850,0.4455,0.4317,0.4768,1.0307
487,0.4100,0.6853,0.6831,0.4446,0.4311,0.4768,1.0184
488,0.4057,0.6853,0.6807,0.4434,0.4307,0.4767,1.0180
489,0.4049,0.6842,0.6781,0.4424,0.4303,0.4767,1.0152
490,0.4105,0.6842,0.6759,0.4421,0.4297,0.4766,1.0201
491,0.4031,0.6833,0.6733,0.4410,0.4293,0.4766,1.0173
492,0.4075,0.6822,0.6707,0.4399,0.4290,0.4765,1.0213
493,0.4088,0.6818,0.6674,0.4386,0.4285,0.4765,1.0150
494,0.4005,0.6817,0.6648,0.4378,0.4280,0.4764,1.0133
495,0.4045,0.6804,0.6617,0.4368,0.4275,0.4764,1.0198
496,0.4018,0.6798,0.6586,0.4357,0.4271,0.4763,1.0250
497,0.3997,0.6794,0.6551,0.4349,0.4266,0.4763,1.0177
498,0.4056,0.6789,0.6514,0.4341,0.4262,0.4762,1.0161
499,0.4056,0.6783,0.6470,0.4328,0.4257,0.4761,1.0161
500,0.4005,0.6780,0.6431,0.4318,0.4252,0.4761,1.0160
