Epoch,Mean Squared Error,Mean Absolute Error,Smooth L1 Loss,Huber Loss,Log-Cosh Loss,Quantile Loss,Mean Absolute Percentage Error
85,2.0687,2.1375,1.7308,1.7771,1.6738,0.5285,1.0227
86,2.0449,2.1332,1.7275,1.7751,1.6724,0.5269,1.0232
87,2.0220,2.1288,1.7241,1.7730,1.6710,0.5254,1.0113
88,1.9979,2.1243,1.7206,1.7709,1.6696,0.5238,1.0292
89,1.9744,2.1197,1.7170,1.7688,1.6682,0.5224,1.0162
90,1.9504,2.1150,1.7133,1.7666,1.6667,0.5210,1.0214
91,1.9282,2.1102,1.7096,1.7643,1.6651,0.5196,1.0171
92,1.9056,2.1053,1.7058,1.7620,1.6636,0.5183,1.0181
93,1.8807,2.1003,1.7019,1.7596,1.6620,0.5171,1.0216
94,1.8577,2.0952,1.6979,1.7572,1.6603,0.5159,1.0104
95,1.8379,2.0899,1.6938,1.7547,1.6587,0.5148,1.0231
96,1.8167,2.0846,1.6897,1.7521,1.6569,0.5137,1.0166
97,1.7945,2.0791,1.6854,1.7495,1.6552,0.5127,1.0381
98,1.7737,2.0734,1.6811,1.7468,1.6534,0.5118,1.0240
99,1.7543,2.0676,1.6767,1.7441,1.6516,0.5108,1.0250
100,1.7351,2.0616,1.6722,1.7413,1.6497,0.5100,1.0187
101,1.7144,2.0555,1.6676,1.7384,1.6478,0.5091,1.0213
102,1.6976,2.0492,1.6629,1.7354,1.6458,0.5083,1.0180
103,1.6840,2.0428,1.6581,1.7324,1.6438,0.5075,1.0207
104,1.6650,2.0362,1.6533,1.7293,1.6417,0.5068,1.0175
105,1.6482,2.0295,1.6483,1.7261,1.6396,0.5060,1.0207
106,1.6296,2.0226,1.6433,1.7228,1.6374,0.5054,1.0141
107,1.6135,2.0156,1.6382,1.7195,1.6352,0.5047,1.0208
108,1.5998,2.0084,1.6330,1.7160,1.6329,0.5041,1.0347
109,1.5819,2.0010,1.6277,1.7125,1.6306,0.5035,1.0230
110,1.5695,1.9935,1.6223,1.7089,1.6282,0.5030,1.0216
111,1.5565,1.9857,1.6169,1.7052,1.6258,0.5024,1.0186
112,1.5422,1.9776,1.6114,1.7014,1.6233,0.5019,1.0219
113,1.5274,1.9694,1.6057,1.6975,1.6207,0.5014,1.0189
114,1.5159,1.9610,1.6001,1.6935,1.6181,0.5009,1.0215
115,1.5045,1.9523,1.5943,1.6894,1.6154,0.5004,1.0184
116,1.4913,1.9436,1.5885,1.6852,1.6127,0.5000,1.0162
117,1.4757,1.9346,1.5826,1.6809,1.6098,0.4995,1.0228
118,1.4635,1.9256,1.5767,1.6765,1.6070,0.4991,1.0169
119,1.4562,1.9163,1.5706,1.6720,1.6040,0.4987,1.0234
120,1.4422,1.9068,1.5645,1.6674,1.6010,0.4982,1.0194
121,1.4278,1.8970,1.5584,1.6627,1.5979,0.4978,1.0188
122,1.4207,1.8870,1.5522,1.6579,1.5947,0.4974,1.0214
123,1.4054,1.8768,1.5460,1.6530,1.5914,0.4971,1.0236
124,1.3960,1.8664,1.5397,1.6480,1.5881,0.4967,1.0184
125,1.3855,1.8558,1.5334,1.6428,1.5846,0.4964,1.0176
126,1.3739,1.8449,1.5270,1.6376,1.5811,0.4960,1.0243
127,1.3657,1.8337,1.5207,1.6323,1.5775,0.4957,1.0191
128,1.3537,1.8223,1.5143,1.6268,1.5739,0.4954,1.0144
129,1.3422,1.8107,1.5079,1.6212,1.5701,0.4951,1.0247
