,Train Input Epoch 1000,Train Output Epoch 1000,Test Input Epoch 1000,Test Output Epoch 1000,Val Input Epoch 1000,Val Output Epoch 1000,Train Input Epoch 2000,Train Output Epoch 2000,Test Input Epoch 2000,Test Output Epoch 2000,Val Input Epoch 2000,Val Output Epoch 2000,Train Input Epoch 3000,Train Output Epoch 3000,Test Input Epoch 3000,Test Output Epoch 3000,Val Input Epoch 3000,Val Output Epoch 3000,Train Input Epoch 4000,Train Output Epoch 4000,Test Input Epoch 4000,Test Output Epoch 4000,Val Input Epoch 4000,Val Output Epoch 4000,Final Train R_2,Final Test R_2,Final Val R_2
0,0.906990707,1.167391539,0.269726962,4.838398457,0.812781274,0.920722902,0.906990707,1.205781102,0.269726962,4.83125639,0.812781274,0.876295149,0.906990707,1.227506876,0.269726962,4.828824043,0.812781274,0.840469122,0.906990707,1.250934362,0.269726962,4.829938412,0.812781274,0.824491858,0.486073613,0.483826995,0.485423982
1,0.260326028,5.46218729,0.687168717,-2.165979147,0.432143211,-3.261430502,0.260326028,5.460918903,0.687168717,-2.193529606,0.432143211,-3.257092476,0.260326028,5.461273193,0.687168717,-2.214899063,0.432143211,-3.264579058,0.260326028,5.463489532,0.687168717,-2.223049641,0.432143211,-3.267237663,,,
2,0.773877382,-0.840715945,0.348734885,-2.858159781,0.045004502,-6.854885578,0.773877382,-0.797952354,0.348734885,-2.863344193,0.045004502,-6.861289501,0.773877382,-0.775942802,0.348734885,-2.867137671,0.045004502,-6.863929272,0.773877382,-0.757935524,0.348734885,-2.865485191,0.045004502,-6.860786915,,,
3,0.157915786,-0.342895687,0.00920092,-1.321497202,0.579857945,2.812680006,0.157915786,-0.358403862,0.00920092,-1.282200098,0.579857945,2.808294058,0.157915786,-0.359160632,0.00920092,-1.294248104,0.579857945,2.797381878,0.157915786,-0.354399204,0.00920092,-1.30264318,0.579857945,2.79370904,,,
4,0.505850554,2.097383022,0.953795373,-0.01733309,0.51815182,2.674268723,0.505850554,2.088545084,0.953795373,-0.045791164,0.51815182,2.691424847,0.505850554,2.075942993,0.953795373,-0.089797229,0.51815182,2.691184044,0.505850554,2.066965342,0.953795373,-0.120918259,0.51815182,2.688525677,,,
5,0.575357556,2.942532301,0.320532054,-0.261396289,0.399739981,-4.519647598,0.575357556,2.944224834,0.320532054,-0.244133964,0.399739981,-4.528796673,0.575357556,2.936882019,0.320532054,-0.242852896,0.399739981,-4.528733253,0.575357556,2.936149597,0.320532054,-0.241494283,0.399739981,-4.526489258,,,
6,0.35483548,-3.30232048,0.664166451,-1.573722601,0.303830385,1.536344767,0.35483548,-3.303267956,0.664166451,-1.554003358,0.303830385,1.545510292,0.35483548,-3.307224751,0.664166451,-1.548369646,0.303830385,1.544141889,0.35483548,-3.305500984,0.664166451,-1.538813591,0.303830385,1.546186566,,,
7,0.04090409,-6.381388187,0.890989065,1.447510004,0.21222122,5.664502621,0.04090409,-6.389893055,0.890989065,1.507738709,0.21222122,5.649810314,0.04090409,-6.394622803,0.890989065,1.550434828,0.21222122,5.645555496,0.04090409,-6.393853664,0.890989065,1.581542373,0.21222122,5.646800518,,,
8,0.409740984,-4.29357338,0.288428843,3.173194647,0.306330621,1.26301527,0.409740984,-4.312244892,0.288428843,3.167015314,0.306330621,1.274777293,0.409740984,-4.31713438,0.288428843,3.162131786,0.306330621,1.274128556,0.409740984,-4.315308094,0.288428843,3.162732363,0.306330621,1.276311517,,,
9,0.646164656,-0.77418083,0.717371702,-2.343374729,0.802680254,0.520605505,0.646164656,-0.727098405,0.717371702,-2.363201618,0.802680254,0.485736072,0.646164656,-0.708739042,0.717371702,-2.381668568,0.802680254,0.460374266,0.646164656,-0.695206881,0.717371702,-2.395759583,0.802680254,0.453481317,,,
